id,urgency,grievance,department
83233,URGENT,भिमदत्त नगरपालिका वडा नं.९ सिद्ध सामुदायिक वन भित्रको टुडिखेल क्षेत्रभित्रको ऐलानी जग्गामा रहेको साल रूख थान १ कटान गरी निस्किएका १० फिट लामा गोलिया काठहरू कैले कामीको छोराहरू धन बहादुर बि.क कमल वि.क वीर बहादुर वि.क. मनविरे वि.क सिद्ध सा.व.उ.स.का अध्यक्ष हरिस कोली दिपराज चटौत समेतको संलग्नतामा काठ तस्करी गरेको भन्ने व्यहोराको निवेदन २०७६ असार १८ गते डिभिजन वन कार्यालयमा नं.२९१४ मा दर्ता गरिएको हो । तर हाल सम्म कुनै कारवाही तथा छानविन भएन ।  यसमा वन कार्यालयका कर्मचारीसमेतको संलग्नता भएको छ। यसबारे के कारवाही भयो भनेर कार्यालयमा बुझ्दा उक्त निवेदन/ उजुरी नै हराएको जवाफ दिनुहुन्छ । यसमा तत्काल छानविन गरी दोषिउपर नियमानुसार कारवाहीको लागि माग गर्दछौै ।,"Infrastructure, Utilities & Natural Resources"
83234,URGENT,सार्वजनिक खरिद निकायकाे (link: http://www.bolpatra.gov.np/egp) bolpatra.gov.np/egp मा सधै समस्या किन अाउछ?? सकिँदैन भने बन्द गर्दिए भयाे नि। online ebidding काे नाममा किन व्यापार गर्नु?? यसलाई गम्भीर रूपले लिनु हाेला । कुनै राम्रो कम्पनी लाई जिम्मा दिदा हुन्थ्यो अाफ्नाे लाई भन्दा। धन्यवाद https://twitter.com/yuvrajshrestha1,Municipal Governance & Community Services
83235,NORMAL,रातोपुल  देखि  सेतोपुल  जाने  बाटोभरि  गाडीहरुले   पर्किङ्ग  गर्दा  बाईक   र  कार  जान  धेरै  गाह्रो    भएको   छ।,Municipal Governance & Community Services
83236,NORMAL,सडक कै वरिपरी झ्याम्मिएका पहिरो रोक्ने र यसबाट हुने क्षति घटाउने एउटा महत्वपुर्ण तरिका भौगर्भिक हिसाबले सँबेदनशिल स्थानमा  सुरुङ्ग मार्ग बनाउनु पनि हो ।,"Infrastructure, Utilities & Natural Resources"
83237,HIGHLY URGENT,हनुमानढोका दरवारक्षेत्र संरक्षण कार्यालयलले पर्यटकहरु स‌ँग १० देखि ५ बजे बाहेक घुम्न र प्रवेश समेत गर्न नपाईने उक्त सँग्रहालयको टिकट विक्रि गरेर पर्यटकलाई दिनदहाडै ठगी गरिरहेको भन्ने ब्यहोराको उजुरी ।,Municipal Governance & Community Services
83238,HIGHLY URGENT,कर्णाली राजमार्ग अन्तरगत चल्ने सार्वजनिक बसहरूले हालै वर्षाको कारण पहिरो आएको कालिकोटको कालेखोलीमा रोकिएका बसका कर्मचारीहरूले यात्रुहरूबाट तोकिएको भाडादर भन्दा बढी भाडा नदिए सम्म गन्तव्य स्थानसम्म नपुर्‍याने भन्ने गरेको गुनासो प्राप्त भएको छ ।,Security & Law Enforcement
83239,URGENT,"सवारीसाधनको कर ढिला तिर्दा जरिवाना १०० प्रतिशत लिने भनिएपछि केही दिन बाँकी रहँदै कर तिर्दा,  जुन वाँकी रहेको मितिलाई आधार नमानी नविकरण गरेकै मिति लागु हुनुले  सर्वसाधारण मारमा परेका छन् । जरिवाना सहित कर तिर्दा भने म्याद सकिने अन्तिम दिनको मिति राख्ने गरिन्छ । प्रचलित कानुनमा कस्तो व्यवस्था छ ? जानकारी गराइदिनु अनुरोध छ, भन्ने व्यहोराको गुनासो प्राप्त भएको ।","Infrastructure, Utilities & Natural Resources"
83240,URGENT,"वैक तथा वित्तिय संस्थाहरुले विभिन्न विषय (खाता खाेल्ने, रकम ट्रान्सफर, खाता बन्द, ए.टि.एम चार्ज, एउटै वैकंको अर्को शाखामा चेक साट्दा ) मा रकम लिने गरेको भन्ने विषयको गुनासो प्राप्त भएको छ ।",Municipal Governance & Community Services
83241,NORMAL,यस बिषयमा आवश्यक कारबाहीको लागि अनुरोध भएको,Municipal Governance & Community Services
83242,NORMAL,"आयुर्वेदिक अस्पताल , नरदेवीमा बिरामी लाइन बसेर घन्टौ कुर्दा डाक्टर कार्यालय समयमा नआए पछि बिरामी समस्या परेको छन्  ।","Education, Health & Social Welfare"
83243,URGENT,"It is well understood that Tribhuwan University Service Commission has attempted unfair practices during the selection of staff and academics. I kindly request you to extend the scope of the investigation to the advertisement number 136/075/076, open position for Associate Professor, of Rural Development, interviewed on 24th of jestha 2076.

There was only one candidate qualified for the interview. However, they failed to choose the the only one candidate, who, actually is better than those invited as experts academically. Although the is not caring for such an abuse of authority by concerned, blaming it is Nepal, a big group in TU, who know the academic ability of that candidate, upseted. Later on it is known that none of the experts and members of service commission evaluate the candidate independently. The candidate, himself heard that the chairman asked to the experts to discuss about the marks, and the members do the same. Finally, the candidate was failed. Later the experts in an informal meeting remarked that ""no political link of the candidate was identified and no one suggested /recommended him to select"". Please investigate the issue and bring the candidate to the University. The TU missed an opportunity to bring qualified academic.","Education, Health & Social Welfare"
83244,URGENT,"हालै सवारी साधनको कर सम्बन्धित आर्थिक बर्ष भित्र नबुझाए १००% जरिवाना तोकिएकोमा अन्याय भएको गुनासोकर्ताको भनाई
गुनासोकर्ताको गत जेष्ठमा तिर्नु पर्ने कर २ महिना नाघ्दा १००% जरिवाना तिर्नु पर्ने भएकोले यो अन्याय भएको गुनासोकर्तालाई महसुस भएको । 
यस विषयमा न त यातायात कार्यालयले कर तिर्ने अलर्ट नै पठाउँछ- न त अनलाइन तिर्ने व्यवस्था छ/ खाली जरिवाना र त्रास मात्र देखाउनु उचित नभएकोले सुधारको लागि अनुरोध छ भन्ने व्यहोराको गुनासो प्राप्त भएको","Infrastructure, Utilities & Natural Resources"
83245,NORMAL,परवानीपुर गाउपालिका वडा नं. १ मा अवस्थित प्राचिन बिवाह स्थल शिव मन्दिरको अतिक्रमण भइरहेकोले रक्षा गरी पाउँ भन्ने गुनासो प्राप्त भएको छ ।,Municipal Governance & Community Services
83246,URGENT,http://bidurkhabar.com/archives/9344   http://www.dainiki.com/4982     / http://www.dainiki.com/4156      / http://www.dainiki.com/4108     /http://www.dainiki.com/4108/  http://www.dainiki.com/3559/  यी लिंकहरूमा नुवाकोट आर्दश बहुमुखी क्याम्पसमा भएको अनियमितता बारे छापिएको छ । छानविन गरी कारवाहीको माग गुनासोकर्ताले गर्नुभएको हुदाँ सत्यतथ्य छानविन गरी दोषि उपर कारवाहीको लागि अनुरोध गरिएको छ ।,Security & Law Enforcement
83247,NORMAL,नेपाल ट्राफिक प्रहारीले प्रबिधि बाट मापासे चेकजाँच गर्दा राम्रो किनकी सरुवा रोगको संक्रमणमा पर्न सकिन्छ भनि गुनासो प्राप्त भएको छ।,Security & Law Enforcement
83248,URGENT,दाेलखा जिल्लाकाे कालिन्चाेक गाउपालिका ६ मा दैनिक जसाे दिन दहाडै चाेरी भईरहेकाे छ ।अहिले सम्म २३ वटा घटना पुगेको छ। स्थानियले अाशंका गरेका मानिस पनि त्यहि छन प्रहरी लाई खबर गरिएपनि बिकट भएकै कारण हाेला प्रहरी अाउदैन यस कारण स्थानियमा त्रास बढेको छ। भन्ने बिषयको गुनासो प्राप्त  भएको छ।,Security & Law Enforcement
83249,NORMAL,तहाँँ विभागबाट प्रकाशित हुने नेपाल परिचय किताव सर्वसाधारण व्यक्तिले प्राप्त गर्न सक्छन कि सक्दैनन । सक्छन भने त्यसको कुनै शुल्क लाग्छ की लाग्दैन । वितरण गर्दा कसरी गरिन्छ र हालको समयमा वितरण गरिएको छ कि छैन जानकारी गराउनुहुन अनुरोध छ ।,"Infrastructure, Utilities & Natural Resources"
83250,URGENT,कालिमाटिस्थित ताहाचल वडा न 13 मा बस्ने अशोक शर्माले नागरीकता प्राप्त गर्न नसकेको गुनासो गर्नुभएको छ । निजको गुनासो / उजुरी फाइल समेत पठाइएको छ । निजले नागरीकता प्राप्त गर्न सक्ने वा नसक्ने सम्बन्धमा भएको नितिगत व्यवस्थाको जानकारी गराउनुहुन अनुरोध छ ।,Security & Law Enforcement
83251,URGENT,"गुनासोकर्ता बैदेशिक रोजगारीको लागि २ वर्ष साउदी अरब गएको र त्यहाँ सोचे अनुसार कमाउन नसके पछि  नेपाल आयर फेरि कतार जानुभएको र त्यहाँ पनि कमाइ  नभएपछि पुनः बैदेशिक रोजगारीमा दुबई जानु भएको त्यहाँ पनि सोचेमुताविक कमाइ नभएपछि नेपालमै केही गर्ने सोच भएकोले  बैदेशिक रोजगारी फर्केकाहरुलाई सहुलियतपुर्ण ब्याज अनुदानको लागि सरकारले दिने भनेकोमा धेरै  खुसि  लागेको अनि  ग्रिल उद्योग सञ्चालनको लागि सबै कागजात राखी बैदेशिक बोर्डको सचिवालयमा गएर निवेदन दिएपछि बोर्डले आफूलाई सिफारिस गरेको र उक्त सिफारिस लिएर आफूलाई पायक पर्ने जुनसुकै वाणिज्य बैंकमा जान सुझायो । सर्वप्रथम
 उदयपुरको कटारीको ले राष्ट्रिय बाणिज्य बैंक गए शाखा प्रबन्धकले लेवर काम गर्न लाइ सहुलियत ऋण दिन मिदैन भन्नुभयो त्यसपछि कटारीको  एनएमबी बैंक मेनेजरले सहुलियत ऋण बारेमा आफूलाई थाहा नभएको जानकारी गुनासोकर्तालाई गराउनु भएको । यसरी गुनासोकर्ता कटारीको सबै वाणिज्य बैंकमा धाउदा पनि सहुलियतपुर्ण कर्जा नपाउनु भएकोले गुनासोकर्ताले राष्ट्र बैंकमा टेलिफोन गर्दापनि समस्या सामाधान नभएको आफुले निकै दुःख भोग्नु परेकोले आवश्यक पहल गरिदिनु हुन भन्ने व्यहोराको गुनासो प्राप्त हुन आएको ।",Municipal Governance & Community Services
83252,URGENT,दाङ जिल्लाको लमही नगरपालिका क्षेत्रको पुर्व पश्चिम राजमार्गमा खाल्डाहरू भएकोले सवारी दुर्घटना बढदै गइरहेका छन् । सडक मर्मतको जिम्मा कस्को हो ? सडक निर्माणमा सरोकारवाला निकायको तत्काल ध्यान जाओस् भन्ने व्यहोराको गुनासो प्राप्त भएको ।,"Infrastructure, Utilities & Natural Resources"
83253,URGENT,स्वास्थ्य सेवा ऐन अनुसार प्रत्येक वर्षको पौष र असारमा स्तरवृद्धि हुन पर्ने हो । गुनासोकर्ता स्वयमंको माघमा स्तरवृद्धि हुनुपर्नेमा हालसम्म नभएकोले नियमानुसार स्तरवृद्धि हुनको लागि अनुरोध गर्दछु साथै स्वास्थ्य सेवाको धेरै कर्मचारीको गुनासो हो म प्रतिनिधि उदाहरण मात्रै हुँ  भन्ने व्यहोराको गुनासो प्राप्त भएको ।,"Education, Health & Social Welfare"
83254,URGENT,नेपालगन्जको कान्जी हाउसमा रहेका पशुचौपायहरु विभिन्न कारणले गर्दा दैनिक जसो मर्दै गैरहेकोमा नेपालगन्ज उपमहानगरले कुनै वास्ता नगरेको भन्ने गुनासो प्राप्त भएको ।,Municipal Governance & Community Services
83255,NORMAL,२०७५/११/०२ मा सवारी चलाक अनुमति पत्रको लागी लिखित र ट्रायल दुबै पास गरि करिब एक हप्ता पछि राजस्व बुझाएको । तर उक्त मितिभन्दा पछि राजस्व बुझाउने लाईसेन्स नम्वर हुनेको नयाँ लाइसेन्स आइसक्दा पनि लाइसेन्स आएको छैन । भन्ने गुनासो प्राप्त भएको हुँदा सो  बारेमा के प्रावधान छ जानकारी गराई कारवाही प्रक्रिया अगाडी बढाउन अनुरोध छ ।,"Infrastructure, Utilities & Natural Resources"
83256,URGENT,झापाको दमक नगरपालिका वडा नम्बर-९ मा संचालित सिद्धकाली होम अप्लाइन्सेन्सले आल्मुनियमको विभिन्न सामानहरु निर्माण गर्दछ। जसको लागि आल्मुनियम पगल्नुपर्ने हुँदा त्यसबाट निस्किने हानिकारक ग्यासहरुले वातावरण प्रदुषण पारी  सर्वसाधारणको स्वास्थ्य स्थितिमा नकरात्मक असर पर्न गएको भन्ने गुनासो प्रर्प्ता भएको ।,Municipal Governance & Community Services
83257,URGENT,गुगल म्यापले देखाए बमोजिम पुर्व -पश्चिम् राजमार्ग अन्तर्गत भान्टाबारी-कोशी ब्यारेज खण्डको रास्ट्रीय राजमार्ग तथा केही नेपाली भु-भाग भारत तर्फ देखाइएको छ । सत्य तथ्य के हो? यसबारे स्पष्ट पारीदिनु हुन अनुरोध छ । भन्ने गुनासो प्राप्त हुन आएको ।,Municipal Governance & Community Services
83258,URGENT,There is very critical condition in new Baneshwor all business man from outside footpath businesses.stop this all unauthorized foothpath business from new Baneshwor n from Kathmandu.. government should stop and take seriously action.. भन्ने व्यहोराको गुनासो प्राप्त भएको ।,Municipal Governance & Community Services
83259,URGENT,"गाेरखा जिल्लाकाे सुलिकाेट गाउँपालिका वडा नं ७ मा पर्ने घ्याम्पेसाले देउराली बारकाेट साेरपनीबारपाक  सडक खण्ड एसियाली बिकाश बैंककाे करिब १८ कराेड बजेटमा कालाेपत्रे हुने भनिएकाे करिब ८.३ कि.मी. सडक खण्ड तामाङ्ग कुमार जे.भी. कन्ट्रक्सन ले हाल ४.७ की.मी. मात्र सडक खण्ड कालाेपत्रे गरेकाे, कालाेपत्रे गर्ने क्रममाा लापरबाही गरेकाे, सडक कालाेपत्रे गरेकाे केही समयमा सडक भत्किन थालेकाे, साे सम्बन्धमा निरन्तर अनुगमन गुर्न जिल्ला प्रशानस कार्यालय र डिभिजन सडक कार्यालयलाइ अनुराेध गर्दा अनुगमनमा नअाएकाे, गाउँपालिकाका जनप्रतिनिधीकाे राेहबरमा साइट इन्जिनियरलाइ २ महिना अघि ज्ञापन पत्र बुझाउदा समेत सुनुवाइ नभएकाे, कालाेपत्रे गर्ने कार्य गुणास्तर नभएकाे सम्बन्धमा डि.इ.लाइ गुनासाे गर्दा याे प्राबिधिक कुरा हाे तपाइहरूलाइ थाहा हुन्र भन्रे खालकाे अनुतरदायी जबाफ दिएकाे र डिभिजन सडकले तामाङ कुमार जे.भी. लाइ के कति भुक्तानी गर्याे भनी जान्र खाेज्दा  पछिल्लाे पटक १ कराेड भुक्तानी भएकाे भनी अपुराे जबाफ दिने गरेकाे साे सम्बन्धमा के भएकाे हाे सम्बन्धित निकायले बुझि न्याय पाउँ भनि गुनासाे गर्नु भएकाे छ ।","Infrastructure, Utilities & Natural Resources"
83260,URGENT,नयाँ बानेश्वरमा चल्ने एक सरकारी गाडीको नम्बर प्लेट स्पष्ट नदेखिएकोले यो गाडिबाट कुनै दुर्घटना भएमा को जिम्मेवार हुने यो गाडिमा स्पषट देखिने गरी नम्बर प्लेट राखिनु पर्‍यो सरकारी कार्यालयको ध्यान जा‌ओस् भन्ने व्यहोराको गुनासो प्राप्त भएको ।,Security & Law Enforcement
83261,URGENT,गोकर्णेश्वर नगरपालिकाका उपमेयर शान्ति नेपालले गोकर्णेश्वर नगरपालिका -५ को  नारायणटार स्थित नारायण मन्दिर  छेउमा रहेको सरकारी पर्ती जग्गामा जमुना नेपाललाई घर बनाउन स्वीकृति दिएको र निज उपमेयर स्वयंले पनि सोहि नगरपालिकाको ४ न वडामा सार्वजनिक/सरकारी पर्ती जग्गामा घर बनाएको भन्ने कुरा ब्यापक रूपमा जनताले उठाएका छन्।तसर्थ यि दुबै सन्दर्भमा सम्बन्धित निकाय र अख्तियार दुरुपयोग अनुसन्धान आयोगलाई समेत छानबिन गरि कारबाही गर्नको लागी आवश्यक छ।,Security & Law Enforcement
83262,URGENT,दुई-तिन महिना अघि देखि गोदावरी नगरपालिका स्थित चापागाउँमा अनियमित तरिकाले बत्ती आउने जाने हुदा त्यहाँको स्थानीय एवंम सम्पुर्ण कार्यालयमा असर परेको भन्ने व्यहोराको गुनासो प्राप्त भएको ।,"Infrastructure, Utilities & Natural Resources"
83263,URGENT,कपिलवस्तु जिल्ला वाणगंगा न.पा.११ स्थित ओदारी गाउँ जितपुर-तौलिहवा सडकको भित्री बाटो (२४४ मिटर लम्बाई) कालोपत्रे गर्ने काम उपभोक्ता समितिबाट बनाइएको थियो ।  बाटो कालोपत्रे गर्ने क्रममा रु.१ लाख २३ हजार ३ सय ५० खाजा खर्च भएको विवरण प्राप्त भएको छ । यसरी विकास निर्माणकार्यमा छुट्टयाएको रकम खाजा खानामा खर्च गर्न मिल्ने हो? आवश्यक कारवाही होस् भन्ने व्यहोराको गुनासो प्राप्त भएको ।,Municipal Governance & Community Services
83264,HIGHLY URGENT,"राेल्पाका पुर्व प्रहरी जवान हाल काठमाण्डाै नारायणथान निवासी देव बहादुर थापा (जाे २०६० साल कार्तिक २४ गते सुर्खेत क्याम्पसमा भएकाे पुर्व माअाेबादी आक्रमणमा घाइते भइ कम्मरदेखी मुनी पुर्णरुपमा असक्त हुनु भएकाे हिडडुल गर्न नसक्ने , हाल तिन पाङ्ग्रे स्कुटरमा हिडीरहनु भएका र सवारी साधनबाट उत्रन नसक्ने ) ले त्रिपुरेश्रवर दंगामा दरबन्दी भइ प्रहरी हस्पिटलमा काजमा  कार्यारत निजकी धर्मपत्नी उर्मिला थापा काज रद्द भएकाे तर साेही प्रहरी हस्पिटलमा काज मिलाइदिन प्रहरी हेडक्वाटरका डि.अा.जी. बिश्वराज पाेख्रेललाइ भेटन गएकाे र त्यहा प्रहरी चिप अाइजी सर्बेन्द्र खनालका पि.ए. एस.अाइ. बिजय यादव ले प्रहरी हेडक्वाटर परिसर भित्र सवारी साधन राखेकाे निहुमा तेराे याे गाडी राख्ने अड्डा हाे ? त काे हाेस? तलााइ टिपेर फालिदिन्छु, म यहाकाे अा. जी.पी. हाे , जस्ता सब्दहरू प्रयाेग गरी जथाभाबी गाली गलाैज गरेकाे, दुर्ब्यबहार गरेकाे,  पि्ट्न खाेजेकाे तथा निजले एक पटक मात्र नभएर प्रहरी कल्याण काेष लगायतका ठाउँहरूमा पटक पटक गाली गलाैज गरेकाे , एउटा सारिरीक रूपमा असक्त  देशकाे सेवाकाे लागी लडदालडदै मृत्युकाे साधमा पुगेकाे ब्याक्तिलाइ सहानुभुति देखाउनुकाे सट्टा निरिह ब्याबहार गरेकाे प्रति धेरै दुख लागेकाे ले निज बिजय यादबलाइ  अावश्यक कारबाही गरी पाउँ भनि गुनासाे गर्नु भएकाे छ ।",Security & Law Enforcement
83265,URGENT,शिक्षक सेवा आयोगले सिफारिस गरेर सम्बन्धित शिक्षा विकास तथा समन्वय ईकाइ सिन्धुलीमा पठाएको । शिक्षा विकास तथा समन्वय ईकाइ सिन्धुलीले सम्बन्धित सिफारिस गरेको व्यक्तिलाई नियुक्ती नगरिकन शिक्षा विभागमा नै सिफारिस गरिएको नाम पठाएको । अब सिफारिस भएका शिक्षकहरुको नियुक्ती कहिले हुने भन्ने अन्योल रहेेको गुनासो प्राप्त भएको ।,"Education, Health & Social Welfare"
83266,URGENT,नागार्जुन नगरपालिकाको भ्याली ग्याँस स्टोरबाट विक्रि वितरण गरेको (सोनाम प्रिमियर राइस) चामलमा अखाद्य वस्तुको मिसावट रहेको भन्ने व्यहोराको गुनासो प्राप्त भएको ।,"Infrastructure, Utilities & Natural Resources"
83267,HIGHLY URGENT,"भक्तपुर कटुन्जेका दिवाकर माेहनकर्मी ले निजकाे ६६११८९१ नं काे टेलिफाेन मर्मतकाे लागी भक्तपुर शाखामा २ महिना अघि निबेदन दिनु भएकाे तर हाल सम्म मर्मत नभएकाे, बेलाबेलामा मर्मतकाे लागी अग्रह गर्दा हाकिमले मर्मत गर्ने प्राबिधिक कहिले कहाँ कहाँ गएकाे छ भन्रे गरेकाे, कहिले अाज भ्याउदैन भन्रे गरेकाे, मर्मतकाे अभावमा टेलिफाेन प्रयाेग नगरी अघिल्लाे महिनाकाे महशुल तिर्नु परेकाे जस्ले गर्दा धरै सास्ती भाेग्नु परेकाे भनि गुनासाे गर्नु भएकाे छ ।","Infrastructure, Utilities & Natural Resources"
