tweet_id,organization,cleaned_tweet
719501041004371968,trafficpolicenepal,crossing stop line and pillion without helmet 11. 04. 2016 at gandhi nagar red light 10. 30am.
719501628529852416,trafficpolicenepal,driving without helmet 11. 04. 2016 at 10. 30 am gandhi nagar.
719501887746215941,trafficpolicenepal,driving without helmet 11. 04. 2016 at gandhi nagar 10. 30 am.
719514018461925380,nepalpolice,when r you arresting wife 4 abatement of suicide? it executive hangs self in patel nagar.
719522572514164736,irdnepal,i called called assessing officer about my my but nobody ready is ready to tell me exact timeframe/date of it. help me please.
719531080328548359,trafficpolicenepal,my brother got his licence confiscated for speeding! thank you for not taking a bribe and teaching him a real lesson. much appreciated!
719537972656390145,trafficpolicenepal,reminder no 7. parent looking improve traffic condition on golwalkar marg between police line and poonthkalan due to encroachment
719546939218395136,trafficpolicenepal,heavy traffic on nice hand 24 indraprastha to akshardham due to vehicles parked on the road inn evening please. don't let them park
719550776385912833,nepalpolice,no action has been taken on my email regarding fraudulent payment and non delivery by interstate cargo movers janakpuri.
719551072826732544,nepalpolice,i already submitted the complaint yesterday from my email profile version2.
719553012172210176,trafficpolicenepal,indigo cab on fire opposite eros hotel nehru place. road closed.
719609770395586560,irdnepal,frauds of sarda-narda chit-fund scam must get caught soon! all officials linked must be probed!
719610498342199297,irdnepal,assets belongings and properties of all government officials employees and their relatives must be checked and inquired!
719708420975120385,nepalpolice,zilch effort made my 2 curb human trafficking. providing shelter/food in education can bring change.
719709760296218629,trafficpolicenepal,:seen almost 10 of them playing with kids. how many challans in last 6 months share data please.
719713312825548801,trafficpolicenepal,huge jam at dhaula kuan. reason unknown. somebody get involved please.
719723341821513729,nepalpolice,many non-hindu leaders like maulana abdul karim kadri support truth because. even they know bapuji is framed.
719733051585085440,trafficpolicenepal,dl 6s au 1229 without helmet at deshbandhu gupta road karol bagh on 12april 2016 at 9. 10 am.
719733972939382788,trafficpolicenepal,offence - without helmet place - uttam nagar east metro station date - 12/04/16 time - 8. 50 am.
719736996822970368,trafficpolicenepal,road choked from shahdara flyover to seelampur metro station.
719737173231017984,nepalpolice,please take suo moto action against this handle for abusing pm. he should be behind bars. track his ip.
719738219399491584,trafficpolicenepal,sir ryan international school sector-25 rohini my teenager students drive scotoorandmotorcycle action.
719740402496983040,nepalpolice,sir +919060098569 this number is fake and making fraudulent call for atm card number and pin codes please make awareness.
719741271498178560,trafficpolicenepal,requesting yourself to depute personnel at tahirpur-boarder red light seemapuri distt. northeasth.
719741868880175104,trafficpolicenepal,please provide action details. sir l have been following up on this fr days but no action.
719741894755008513,trafficpolicenepal,daily commuter face jam problem on a/o non observance of red light and 15-20 minutes are wasted daily becz of this jam.
719744372774817792,trafficpolicenepal,massive jam occurs daily from the last one year due to nuisance at seelampur redlight. no action taken by traffic police.
719745208716374016,trafficpolicenepal,heavy traffic jam at bear square.
719745579236990976,nepalpolice,the windows front end rear has dark film.
719745594042949632,trafficpolicenepal,sir writing form mahi pal pur have already written 100 times 2 handle but no respite cab drivers drive on d wrong side of 1/2.
719749251685683200,nepalpolice,close call. fire broke out in the building next to me. so impressed with and their quick action.
719749489473376256,trafficpolicenepal,huge rush and traffic jam from narayana towards dhaula kuan road. traffic moving at snail's pace. any reason?
719752190961782784,trafficpolicenepal,should buses be parked on the road considering that there is a depot next to the cgo complex?
719761573665878016,trafficpolicenepal,1/3 please look in this matter they are big threat on road.
719763491062554624,trafficpolicenepal,if i ve a cng fitted car with a computer cng sticker then is it necessary to have that red sticker?
719763760894898177,nepalpolice,daily. jams at pragati maidan
719769404821647360,trafficpolicenepal,when the members of pitam pura bar association and residents objects all the driver cleaners comes with lathis rods and other.
719777655785062400,trafficpolicenepal,very big traffic on road tilak nagar to rajouri garden.
719782627784466432,trafficpolicenepal,hefty fines should be imposed for people to fall in line with the traffic rules.
719791829508497410,trafficpolicenepal,zam from naraina to dhaula kuan from last 45 minutes traffic jam not action taken till morning 2 policeman at site only
719803483776425984,irdnepal,actual earning of movies must be calculated for accurate taxation.
719803569260507136,trafficpolicenepal,parking on center of road between bara tooti chowk and sadar thana chowk. complained before also but no action.
719814407598055424,nepalpolice,dp approves road encroachment silently at go to bed hospital area. no dtp has seen last 1 year. no act on mail.
719818150934659073,nepalpolice,shamefull. arrest him. him
719822924874653697,nepalpolice,is not under anyone so why not he is arresting this person.
719828694127149056,nepalpolice,thanks 4 being friends of street children on. street children day.
719832025973137408,nepalpolice,hi ma'am these fake hours are looting many people with authorised job site please look into this.
719834528303308800,nepalpolice,please help! these fake hour job on popular sites have looted many people for jobs. please help.
719839951773282304,trafficpolicenepal,big traffic jam from gurgaon to mahipal pur.
719842440237170688,trafficpolicenepal,traffic at new lahore colony (near sdm off. geeta colony) creating road rage people coming from wrong side deploy dtp staff.
719843402913816576,trafficpolicenepal,in heavy traffic during peak hours mcd truck holds up traffic on service road in front of govt sr second school lajpat.
719847187962818561,trafficpolicenepal,some riders wear helmet just for formality like a plastic hat or cap which can protect. what's rule for such riders?
719862817789071361,trafficpolicenepal,do you have any update on traffic from gurgaon toll to mahipalpur
719865617914949632,trafficpolicenepal,who is owner of stray animals? problem for traffic. pitampura maurya enclave.
719866274071732225,nepalpolice,complaint of recovery still not respond.
719868327292588032,nepalpolice,country needs more lion forces like you. arti sharma sho (maurice nagar).
719868841879302144,trafficpolicenepal,everyday jams at badli crossing near passport office. pathetic traffic light management.
719871950072508416,nepalpolice,has the become goons to extort money from common man.
719872313215221760,nepalpolice,parent looking see d number plate of vehicle. spotted in mayur vihar on sunday.
719877839139508225,trafficpolicenepal,hi i am currently on nh8 massive traffic jam no idea. any update about this jam.
719879786206728192,trafficpolicenepal,please remove burnt car from road near sanjay van gate aruna asaf ali marg can cause another accident in night.
719882181846249473,nepalpolice,please watch! justice for sidd.
719883079997911040,trafficpolicenepal,outer ring road and ring road par onroad unauthorised parking knock out roke do challans and take actions.
719883817951952896,nepalpolice,how to get away with murder. justice for sidd.
719888746611662848,trafficpolicenepal,heavy traffic near moti bagh gurudwara.
719894785130164224,trafficpolicenepal,heavy traffic on maharaja agrasen bhawan road pitampura(road no. 44 pitampura village). people not driving in lane.
719898037041172480,trafficpolicenepal,reminder no 8. a gentle reminder to improve the traffic condition on expert golwalkar marg from police line to poonthkalan
719900561945047044,trafficpolicenepal,hybrid cars are allowed during odd even or not?
719904225866686464,trafficpolicenepal,should launch campaign to follow traffic rules and ensure 100 % compliance in case of minor /drunken driving to save innocent.
719904637118255104,nepalpolice,and should launch education awareness to stop the increasing crimes by juvenile.
719905636281094146,trafficpolicenepal,men at work. huge reduction of jam in cdr chowk near chattarpur metrostation. nice effort. and thanking you.
719909257450283011,trafficpolicenepal,huge traffic grid lock at pushta near seelampur metro station under railway bridge. please do something immediately.
719909637957545984,trafficpolicenepal,why traffic personnel are not deployed at pushta on tuesday as there always a gridlock. waste of time and fuel.
719910481692139521,trafficpolicenepal,please do something as there is chaos in pushta. situation is going out of control.
719914229390774272,trafficpolicenepal,it's confirmed traffic cop duty is to hid behind the tree and issue challan instead of manning traffic. huge disappointed.
719918401561432064,trafficpolicenepal,this. is despite traffic police presence
719924423948525568,nepalpolice,fraudster claiming form lic hd office mobile 09210204952 saying addl bonus has been granted when i don't have any policy.
719927208177901569,trafficpolicenepal,can you please send your officer at kalkaji bus depot red light near nathu sweet govindpuri? i can't even count no. of traffic violations.
719928117121253376,trafficpolicenepal,request you too reward your hero's who are helping by pushing a bus by themselves on yamunaabridge.
719929115072163840,trafficpolicenepal,the reason of daily jams at nh8 is the poor coordinations between traffic police and mcd toll collectors.
719930632869052420,nepalpolice,sir kailash colony metro station is not fully secured material/bag can be handed over to inside person through exit point side.
719933500460130304,nepalpolice,sir if you an please her him? please his sister is missing from 5 april.
719944316592852992,trafficpolicenepal,huge jam at andheria mod. no one addressing the issue. i have a family with me and i am stuck for last 20 minutes.
719945349973065729,trafficpolicenepal,traffic lights not working in jasola vihar near living style mall. people are facing huge problem while crossing.
719951651801591808,trafficpolicenepal,heavy rush at chattarpur signal. please do something.
719957101146148864,nepalpolice,hey please learn from this. cc:.
719991639939231745,nepalpolice,please take some strict action for this person who is abusing our honorable pm.
720072632238903296,nepalpolice,witness irshad joins me in dilli meri jaan tdy 8-9am. don't miss if you care! justice for sidd.
720080749622263808,nepalpolice,eye witness irshad says that all the juveniles in the car seemed to be drunk. justice for sidd.
720083993777942528,nepalpolice,of joins me in dilli meri jaan with updates on justice for sidd
720092877997649920,trafficpolicenepal,humanity shown by traffic police to a animal who got hit by car.
720099811496697857,trafficpolicenepal,huge traffic from east vinod nagar towards akshardham and nizamuddin bridge. please help with it.
720102375336341505,trafficpolicenepal,offence - without helmet place - near sagar pur janak puri date - 13/4/16 time - 9. 10 am.
720114825834196994,trafficpolicenepal,offence - without helmet place - dhaula kuan date - 13/04/16 time 9. 20 am.
720114872504160256,nepalpolice,this is the 2nd time in 2 weeks has spread rumours amounting to inciting violence.
720116999343489024,nepalpolice,happy baisakhi to respected. keep doing great work.
720117779773419525,nepalpolice,special cell arrest vikram ahlawat in a murder case of 2014 reward of r50 000 was announced on his arrest.
720118290052472832,irdnepal,sir i have completed and confidential information on person avoiding income tax to the tune of rs. 2 crores.
720131144998473728,trafficpolicenepal,offence - without helmet place - janakpuri date - 13/04/16 time - 9 10. am reg no - dl 6s af 6973
720132281340338177,nepalpolice,traffic discipline is more imp than odd even do something to stop accidents.
720133796234948608,nepalpolice,shocked to learn that mercedes hit and run accused was let off by in another accident read.
720138893144694784,irdnepal,request to provide 15ca offline utility.
720142009554575360,trafficpolicenepal,moti bagh gurudwara to dhaula kuan hasba bottle neck kindly take some remedial action.
720142973770559488,nepalpolice,real time voting. voting
720143556292321280,nepalpolice,and in 'real time' it was army who saved kashmiris during flood not hurriyat leaders.
720145540743176193,trafficpolicenepal,what prosecution is does to van drivers ferrying school children in private vehicles?
720149484894703616,trafficpolicenepal,is sunday exempted from odd even rule?
720159373041864706,nepalpolice,please help the victim.
720161393891282944,nepalpolice,please check. safety. robbery.
720163380305068032,nepalpolice,fake call got call from 9311711923. fake credit card transaction of rs. 2500. please help.
720171884894101504,irdnepal,2/2 please help in getting the two revised domain name system to enable me to response. alips6236r.
720180429030985728,irdnepal,tamilnadu voter how money comes out for paying voters is through contractors who are given infra projects 1/2.
720182086208868352,nepalpolice,there must be some law for such abuses
720184298360479744,nepalpolice,can go to any extent to defame defence forces. these con slaves have so much hatred for.
720196277691138048,nepalpolice,misleading. -- this spreading old images to spread fear and discontent kindly act.
720205933742268416,nepalpolice,arrest congress worker for inciting violence against take action.
720212422691266560,nepalpolice,people openly consuming alcohol in park above palika at cp.
720214847493767168,nepalpolice,quick work by congratulations.
720225722560856064,nepalpolice,attention! schools look the other way as students hop on to bikes.
720230916497477632,nepalpolice,hmm. hope you find your car soon. and. by the way you should tweet registration number and model too.
720231650676703235,trafficpolicenepal,sir subjimandi clocktower chock always remains jammed due to e-rickshaw pullers and rehdiwallas and parked vehicles. please help.
720245160060313600,trafficpolicenepal,when will the work of sewage will complete at laughing a little kuan at mg road? or you can completely close this road.
720251880560009216,nepalpolice,psjagatpuri is so insensitive that it went in i see you to record statement of victim of attempted suicide! what about depression of victim.
720261510522478593,trafficpolicenepal,massive jam are vinaymarg round about and leela hotel africa avenue stand for half an hour without any movement parent looking avoid.
720266018640138242,nepalpolice,01165270041-65430058 call from this number they want credit cards all details also otp number do fraud with people.
720270087782010880,nepalpolice,as if frequent snatchings were not enough criminals are out of control in bsz marg just near hq.
720273400476868608,nepalpolice,dear this? spreading lies on social media.
720276002144968704,nepalpolice,congress supporter photoshop caught implicating please note.
720282797772910592,nepalpolice,and your office is right next to headquarters if i'm not wrong. speaks volumes about them.
720297192607473664,irdnepal,multi billion dollar entity is still called charitable institute. pays 0 tax and no social obligation. charity for whom
720300206575591424,trafficpolicenepal,please let me know from where do i get my seized license. seized vihar plying from badarpur toll.
720302636881326080,trafficpolicenepal,who are these people stopping cars in the middle of nh8 for mcd toll? how can they disrupt traffic like this?
720303460592160768,nepalpolice,i wish that i get your car and urges to do something extraordinary job to find out the car and catch the culprits.
720304000252284929,nepalpolice,he must be taken to task
720316010692104192,trafficpolicenepal,offence - tripling place - near dhaula kuan date - 13/04/16 time - 9 pm reg number - dl4s cz 3696.
720317328127209472,nepalpolice,congratulations arrest by special cell in dhaula kuan with 30 pistols you saved many from being killed.
720318097983434752,irdnepal,good work but not only seize the money pit the culprits behind the bars.
720326344878346240,trafficpolicenepal,follow and tweet global good emi asd and you can support and win some prizes. don't miss the chance.
720329380203876352,trafficpolicenepal,"to applying ""permanent no entry permission"" will be start from 16th nov 2016 but remain 8 months left in this."
720329506427379712,trafficpolicenepal,"so what is the procedure for applying ""short term no entry permission"" and what is the maximum validity for short term."
720329611322626048,trafficpolicenepal,we've. tata ace and we are in fruit vegetable and grocery items supply/delivery business please. guide thanks
720333265349967877,nepalpolice,my phone got stolen in karol bagh at 10:30 pm today. how do i report the matter?
720333318277971968,trafficpolicenepal,mg road par qutub minar metro station ke parent at side jam laga hello. please do something.
720401846548824064,nepalpolice,hope this handled well. and better than jnu row.
720439120368164865,nepalpolice,and multiple production of both. please look in to. get well soon.
720450540640055296,trafficpolicenepal,just saw 2 dtc buses route 623 jump red light near delta and then race recklessly. does dvr get a cut of collections?
720454165542121473,trafficpolicenepal,red light t junction between africa ave and sri venkateshwara mandir marg 7:50 am.
720458642219212800,trafficpolicenepal,sir we are suffering everyday traffic problem from uttam nagar red light to uttam nagar east metro station.
720470380834476032,nepalpolice,how cracked the metro station robbery case in 48 hours.
720473403103297536,nepalpolice,hope noticing it
720475218163154944,nepalpolice,cc: now what? fan tomorrow.
720475703226077184,trafficpolicenepal,terrible chaos at brt near birla vidya niketan school as a fight has erupted. kindly send traffic team to clear as soon as possible.
720483516904009728,trafficpolicenepal,please question why delay in rewarding volunteers?
720491821374271488,nepalpolice,cc this guy always defame hinduism and try to create communal tension in society.
720492037578039297,nepalpolice,dear this kind of people try to incite communal tension. please take a note.
720492988850388994,trafficpolicenepal,request to please also give location link. you tell us traffic specifying road names and marg. everyone is not familiar to d same.
720499277613633536,trafficpolicenepal,no metro feeder bus/dtc/rtv from rohini 13 to second 18 / haiderpur. i will have to drive my car daily for are ok puram. parent looking help.
720509500122349569,trafficpolicenepal,source of income? govt should prepare road side paid parking like. dubai.
720511757815586816,nepalpolice,take cognisance of defamation attempts.
720521476110172160,trafficpolicenepal,teaching lesson of traffic is good bit torrent learning very difficult. can you find out the real no.
720528658029547520,nepalpolice,great news! good work.
720535275726880768,nepalpolice,amazing recovers car within 24 hours bet the team didn't sleep all night! good pro-active policing!
720535582850461696,trafficpolicenepal,heavy traffic jam opposite sisgunj gurudwara chandni chowk.
720537388380884992,nepalpolice,blocking of this road will force people of vikaspuri a block b block m block to take detour.
720537499844485121,nepalpolice,how did parent over looking give clearance for the gate? is it an internal road?
720538956459352064,irdnepal,maharashtra tops in income tax returns in fy 2015-16.
720545347626516480,trafficpolicenepal,odd even car system should not be implemented on festivals such as ram navami mahavir jayanti.
720555844773871616,trafficpolicenepal,joint commissioner of police (traffic) tells me no leniency for odd-even violators. challans to be given from day 1.
720575019991085056,trafficpolicenepal,uttam nagar metro pillar no 680 is used as a parking station of tata-407 kindly removed from road.
720580423261114369,nepalpolice,metro robbers unmasked in 48 hours via well done.
720590275320619009,nepalpolice,amazing. kudos to. to
720600898850783232,nepalpolice,well done for recovering colleague 's car. such a relief to know this too happens! bharatmata ki jai.
720604390021865473,trafficpolicenepal,heavy traffic near moti bagh gurudwara.
720624765048741888,trafficpolicenepal,- bought new car today having ghaziabad registration so number not given yet so what rule applicable on my car in odd even.
720629204262395905,trafficpolicenepal,heavy traffic jam at hotel city park pitampura. due to non functioning traffic signal.
720649712446087168,trafficpolicenepal,reminder no 9. parent looking decongest the traffic on expert golwalkar marg from police line to kanjhawala due to encroachment.
720654360821125120,nepalpolice,doing nothing for shops and crowd gathering around late nights and playing loud music in cars shame on rules and. regulations.
720657889636020224,irdnepal,today is 14april 2016 and incometax site is showing 14th may 2014. what a great department.
720660115758702592,nepalpolice,hit and run case red colour hyundai ref colour creta 6120.
720662991893622788,nepalpolice,sir please have a system in place where cops don't ask for bribe in passport police verification.
720663328171933696,nepalpolice,atleast in passport police verification corruption should not be tolerated and strict action shed be.
720664334062342144,trafficpolicenepal,offence - 1. using mobile 2. without helmet place - hari nagar crossing date - 14/04/16 time - 15:10.
720667915175993345,nepalpolice,what can be done if neighbours have erected structure that throws dirty water of their house straight into our house.
720668239408295936,nepalpolice,we have been requesting them to stop this for so many years now?
720672424820346884,nepalpolice,request to arrest ukgov agents kamal nath muttemwar n jindal bakthavatsalam ganesh menon rajat khare gm pillay.
720685618255294465,nepalpolice,wrote. to regarding. abusive handles no. action against them as they are volunteers of aap
720688416166273024,trafficpolicenepal,my friend dipeshjain missing since 13/4. mobile 8009562332 and 9015981031 switchoff. missing.
720689281090473984,nepalpolice,take strict action for using my picture
720689364586467328,trafficpolicenepal,photo of deepesh jain missing since 13-4-16 please help missing.
720691806049038336,irdnepal,rtwt al-anwar brain booster :- memory booster.
720696115830603776,nepalpolice,arrest mrs b khare wicked king of ritesh oswal savitri jindal muttemwar whose kins exploited by britgov to run 13 year mafia.
720697982396588032,trafficpolicenepal,success comes only to those who believe in themselves good luck! odd even formula.
720711735083184130,nepalpolice,but. but. isn't under? which is under modi?
720805367962148865,trafficpolicenepal,wish you meet the challenges of odd even smoothly jai hind.
720813423580311553,trafficpolicenepal,request you to look into odd even exemption for rajokri flyover uturn for gurgaon like last time.
720817899217096704,nepalpolice,and here is an answer to all those who were trolling about a theft near their hq. shanti sewa nyay.
720827909364035584,nepalpolice,- my maid's father missing since 2 days was on way from del to uttarakhand by bus. please help sir.
720828080978178048,nepalpolice,- my maid's father missing since 2 days was on way from del to uttarakhand by bus. please help sir.
720831707461517312,nepalpolice,increased security of after receiving inputs of threats. pity on those people who are giving him threats. idiots.
720833266991767552,nepalpolice,woebegone! security is responsibility of who gleefully watch patiala house court saga!
720836321288130560,nepalpolice,police tighten security of kanhaiya kumar after receiving inputs of threats.
720837145879912448,nepalpolice,is hybrid exempted from odd even
720837597782614016,trafficpolicenepal,sir please tell if car coming from gurgaon taking you turn at rajokri flyover to go back to gurgaon is exempt from odd-even?
720844090741379072,trafficpolicenepal,there is a mess of traffic around uttam nagar terminal. called up helpline an hour ago but nothing done yet. please action
720846898957975552,trafficpolicenepal,big truck stranded on aiims round about towards south ex obstructing traffic. please clear it.
720848846922784768,trafficpolicenepal,first ever car i saw today - going from preet vihar towards lakshmi nagar. odd even dobara.
720851174505615360,trafficpolicenepal,water pipeline has again burst near i. p. state police station. please inform the concerned agency.
720851251261386752,trafficpolicenepal,can't use my car today and this auto not just refuse 2 go but also abused me back. action?
720857911115718656,irdnepal,please let me know procedure to challenge assessment order for penalty on delayed tds. have sent 5 miles till date.
720861236808720384,trafficpolicenepal,are lady drivers exempt form the odd - even rule this time around too?
720866684244877312,trafficpolicenepal,offence - without helmet date - 15/04/16 time - 11. 18 am place - uttam nagar west.
720867107689213953,trafficpolicenepal,also start road side paid parking like. dubai. odd even begins.
720868882169212929,nepalpolice,handy tips to kp car safe.
720871571531771904,nepalpolice,i want to go to ambience mall from gurgaon will i be challan if i take you turn below the rajokri flyover. odd even.
720873343411310594,trafficpolicenepal,illegal parking by schools on roads and footpaths at sec-4 9 10 12 18 19 22 23.
720876451042500608,trafficpolicenepal,traffic jam near hyatt hotel and rk puram.
720876664587100161,trafficpolicenepal,offence - without helmet place - uttam nagar east date - 15/04/16 time - 09. 52 am.
720877271922253824,trafficpolicenepal,offence - stop line place - vikas puri crossing date - 15/04/16 time - 10. 05 am dl4sbe6648.
720877392231673857,trafficpolicenepal,offence - stop line place - vikas puri crossing date - 15/04/16 time - 10. 05 am dl4cap2695.
720887344383922176,trafficpolicenepal,red colour skoda in derawal nagar model town number dl 5202 plying on odd day. odd even kindly take strict action.
720887767345995776,nepalpolice,' kanhaiya kumar and kumar khalid will be beheaded' warns a letter along with pistol. enhanced security.
720889269502418944,trafficpolicenepal,thank you without your help and support implementing this won't be possible. respect. odd even begins.
720889489732673536,trafficpolicenepal,long traffic jam at aiims flyover a loading truck has broken down causing lot of problem no cop seen.
720889683190747136,trafficpolicenepal,odd-even is useless. people taking cars out with even numbers. dl- 9c - af-5202 - red skoda car out on streets of derawal.
720892362126442496,trafficpolicenepal,v know that odd even is good 4 dilli. then why 2ask us. simply continue it! why 15day trial?
720898591422869504,irdnepal,cbdt staring at rs7l can't remember unpaid disputed taxes via.
720899631589244929,irdnepal,significant reform to cut audit delays: cbec relaxes taxregime.
720899640145616896,irdnepal,sir thanks for releasing all income tax return forms and utilities in month of april as promised by you kudos to. good governance.
720901139957309440,trafficpolicenepal,all i get is a reply saying thanks nothing else vehicles parked along mohansingh market tamil sangam hampering traffic movement.
720901417553166336,trafficpolicenepal,no action initiated till date. the signal in front of mohansingh market hidden behind lamp post complained no action futile.
720902382444347392,nepalpolice,sir please visit this? guy. he is abusing everyone by mentioning. please locate there internet protocol addres andtake action?
720910279526129664,nepalpolice,please sir look at this sir handle he has created fake and vulgar account of.
720911139840729088,nepalpolice,someone stop this idiocy.
720914097966080000,nepalpolice,rohini to karol bagh in half an hour! woohoo smooth way ol over! odd even begins. odd even dobara.
720920941685944320,nepalpolice,kindly take this matter of serious abusive threat of crime.
720921706525646848,trafficpolicenepal,follow friday top influencers this week! have a great weekend :) (via.
720921844002504704,trafficpolicenepal,so much for odd even all hype no effect stuck in traffic with even numbers all around.
720923861890560000,nepalpolice,kejri deludes that success of last odd even was his success whereas it was due to which as per his own nonsense is of. modi.
720927504295452672,trafficpolicenepal,culprit for kms long traffic jam - broken down trailer. why are such trucks allowed to play during day?
720929454630047745,trafficpolicenepal,my daughter is pregnant and is advised rest avoid driving. she has hired driver for office. she exempt from odd even or not?
720934625439166464,irdnepal,your password reset mechanism is the worst ever. you call this getting online?
720955305601953792,nepalpolice,disgusting hindu women have blocked a road and singing songs since last 3 hours. no action by despite my complaints.
720968148527153152,trafficpolicenepal,even diesel vehicle driver with no females on an odd day! near pragati maidan at 7pm.
720968206488363008,trafficpolicenepal,over 500 persons were challenged in first five hours by for violating the odd even norms.
720973761390850048,trafficpolicenepal,looks more revenue coming.
720976967365828608,irdnepal,helpus get justice! 5+yrsdelay in amrapali golf homes no progress plz re-tweet.
720978059571130368,nepalpolice,a way to reduce vehicles is to force offices to charge heavy 4 employee parking and deposit in traffic fund.
720984321985609728,nepalpolice,i had register a complaint on 7/8/2015 via d. d. no. 19 pp subzi mandi and still no action has been taken.
720988994742431744,trafficpolicenepal,drinkdriving this gentleman was under the influence of alcohol and tried to run me down.
720992994455896065,trafficpolicenepal,reminder no 10 parent looking decongest traffic on expert golwalkar marg from police line to poonthkalan due to encroachment.
721008549594337280,trafficpolicenepal,does odd-even apply on saturday's
721009602028904448,nepalpolice,total 884 challans issued by the on the first day of odd-even round two.
721009912541614080,trafficpolicenepal,prosecuted 884 vehicles on first day of odd even.
721011801958268928,irdnepal,should investigate the source of money of candidate javed khan whose property was worth rs 485 2011andnow 43cr.
721012488414728192,trafficpolicenepal,booked 884 people on day 1 for violating odd even rule: ani.
721019409582657537,trafficpolicenepal,odd even day 1: fined upto 884 persons. earned rs. 17 68 000.
721023018600964096,nepalpolice,but i have odd car no. is it possible to go for a hospital wide mom. mom d not good and her health s too bad.
721023953976823808,nepalpolice,hey please help. help
721026354226061313,nepalpolice,sir. tweeting again the screenshots no. action has been taken against the harassers online
721031739292925952,nepalpolice,do you know twitter handle of your neighbour gurgaon police?
721036537740333059,trafficpolicenepal,today cuts 884 challan for. odd even dobara.
721038066429734912,trafficpolicenepal,this should be implemented before stupid odd even
721046283931095040,nepalpolice,finding a lost phone is easiest job technically. don't you think so.
721048161540775936,nepalpolice,:crook bus operator. operator
721050119257206785,trafficpolicenepal,kaise hold on sir. good night.
721148343271976960,trafficpolicenepal,yesterday saw your constables watching even numbers car pass without challan. odd-even is for benefit of all-no politics please.
721183592882290689,nepalpolice,fraud alert mail received today. since de using bcc ds might have gone 2many other people. action please.
